producto,sentimiento,reseña,reseña_limpia
Auriculares,positivo,"Funciona de maravilla, el Auriculares es rápido y confiable.",funciona maravilla rápido confiable
Altavoces,neutro,"El Altavoces es aceptable, cumple con lo prometido pero nada sobresaliente.",aceptable cumple prometido sobresaliente
Altavoces,positivo,"El Altavoces superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Cámara,positivo,"El Cámara superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Tablet,negativo,"Problemas constantes con el Tablet, mala experiencia de compra. Incluía accesorios extra.",problemas constantes mala experiencia compra incluía accesorios extra
Tablet,positivo,"Encantado con mi nuevo Tablet, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Altavoces,negativo,"Muy decepcionado con el Altavoces, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Laptop,negativo,"Problemas constantes con el Laptop, mala experiencia de compra.",problemas constantes mala experiencia compra
Laptop,neutro,"Cumple su función básica, el Laptop no destaca en nada.",cumple función básica destaca
Auriculares,positivo,"Funciona de maravilla, el Auriculares es rápido y confiable.",funciona maravilla rápido confiable
Tablet,neutro,"Un Tablet promedio, ni muy bueno ni muy malo.",promedio bueno malo
Tablet,negativo,"Problemas constantes con el Tablet, mala experiencia de compra.",problemas constantes mala experiencia compra
Tablet,negativo,"Problemas constantes con el Tablet, mala experiencia de compra.",problemas constantes mala experiencia compra
Smartwatch,positivo,"Funciona de maravilla, el Smartwatch es rápido y confiable.",funciona maravilla rápido confiable
Laptop,positivo,"Encantado con mi nuevo Laptop, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Smartwatch,positivo,"El Smartwatch superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Monitor,negativo,"No recomiendo este Monitor, la calidad deja mucho que desear.",recomiendo calidad deja desear
Altavoces,positivo,"El Altavoces superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Altavoces,positivo,"Funciona de maravilla, el Altavoces es rápido y confiable.",funciona maravilla rápido confiable
Monitor,positivo,"Funciona de maravilla, el Monitor es rápido y confiable. Incluía accesorios extra.",funciona maravilla rápido confiable incluía accesorios extra
Cámara,neutro,"Un Cámara promedio, ni muy bueno ni muy malo. La entrega fue muy lenta.",promedio bueno malo entrega lenta
Smartwatch,negativo,"Problemas constantes con el Smartwatch, mala experiencia de compra.",problemas constantes mala experiencia compra
Impresora,positivo,"Encantado con mi nuevo Impresora, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Laptop,positivo,"Funciona de maravilla, el Laptop es rápido y confiable.",funciona maravilla rápido confiable
Monitor,positivo,"El Monitor superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Cámara,positivo,"Funciona de maravilla, el Cámara es rápido y confiable.",funciona maravilla rápido confiable
Tablet,positivo,"El Tablet superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Impresora,negativo,"Problemas constantes con el Impresora, mala experiencia de compra.",problemas constantes mala experiencia compra
Impresora,negativo,"No recomiendo este Impresora, la calidad deja mucho que desear.",recomiendo calidad deja desear
Impresora,positivo,"El Impresora superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Laptop,negativo,"Muy decepcionado con el Laptop, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Teclado,neutro,"El Teclado es aceptable, cumple con lo prometido pero nada sobresaliente.",aceptable cumple prometido sobresaliente
Laptop,positivo,"El Laptop superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Smartwatch,positivo,"Encantado con mi nuevo Smartwatch, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Altavoces,negativo,"Problemas constantes con el Altavoces, mala experiencia de compra.",problemas constantes mala experiencia compra
Altavoces,neutro,"Cumple su función básica, el Altavoces no destaca en nada.",cumple función básica destaca
Cámara,negativo,"Problemas constantes con el Cámara, mala experiencia de compra.",problemas constantes mala experiencia compra
Altavoces,neutro,"Cumple su función básica, el Altavoces no destaca en nada.",cumple función básica destaca
Cámara,positivo,"Funciona de maravilla, el Cámara es rápido y confiable.",funciona maravilla rápido confiable
Teclado,positivo,"El Teclado superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Impresora,positivo,"Funciona de maravilla, el Impresora es rápido y confiable.",funciona maravilla rápido confiable
Smartwatch,positivo,"El Smartwatch superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Tablet,positivo,"Funciona de maravilla, el Tablet es rápido y confiable.",funciona maravilla rápido confiable
Teclado,positivo,"Encantado con mi nuevo Teclado, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Impresora,positivo,"Encantado con mi nuevo Impresora, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Cámara,negativo,"Problemas constantes con el Cámara, mala experiencia de compra. Tuvo que ser reemplazado por garantía.",problemas constantes mala experiencia compra ser reemplazado garantía
Auriculares,neutro,"Un Auriculares promedio, ni muy bueno ni muy malo.",promedio bueno malo
Altavoces,negativo,"Muy decepcionado con el Altavoces, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Auriculares,negativo,"Muy decepcionado con el Auriculares, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Laptop,neutro,"El Laptop es aceptable, cumple con lo prometido pero nada sobresaliente. Me llegó con un rasguño.",aceptable cumple prometido sobresaliente llegó rasguño
Teclado,positivo,"Funciona de maravilla, el Teclado es rápido y confiable.",funciona maravilla rápido confiable
Smartwatch,positivo,"Funciona de maravilla, el Smartwatch es rápido y confiable.",funciona maravilla rápido confiable
Laptop,neutro,"Cumple su función básica, el Laptop no destaca en nada.",cumple función básica destaca
Smartwatch,positivo,"El Smartwatch superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Auriculares,negativo,"Problemas constantes con el Auriculares, mala experiencia de compra.",problemas constantes mala experiencia compra
Monitor,negativo,"Muy decepcionado con el Monitor, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Monitor,neutro,"Un Monitor promedio, ni muy bueno ni muy malo. La entrega fue muy lenta.",promedio bueno malo entrega lenta
Cámara,neutro,"Cumple su función básica, el Cámara no destaca en nada.",cumple función básica destaca
Teclado,positivo,"Funciona de maravilla, el Teclado es rápido y confiable.",funciona maravilla rápido confiable
Cámara,positivo,"Encantado con mi nuevo Cámara, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Cámara,positivo,"Encantado con mi nuevo Cámara, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Monitor,positivo,"Encantado con mi nuevo Monitor, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Teclado,negativo,"Muy decepcionado con el Teclado, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Smartphone,positivo,"Funciona de maravilla, el Smartphone es rápido y confiable.",funciona maravilla rápido confiable
Smartwatch,negativo,"Muy decepcionado con el Smartwatch, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Monitor,positivo,"Funciona de maravilla, el Monitor es rápido y confiable. Me llegó con un rasguño.",funciona maravilla rápido confiable llegó rasguño
Altavoces,positivo,"Funciona de maravilla, el Altavoces es rápido y confiable.",funciona maravilla rápido confiable
Monitor,positivo,"Encantado con mi nuevo Monitor, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Monitor,negativo,"No recomiendo este Monitor, la calidad deja mucho que desear.",recomiendo calidad deja desear
Impresora,positivo,"Encantado con mi nuevo Impresora, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Laptop,positivo,"Funciona de maravilla, el Laptop es rápido y confiable.",funciona maravilla rápido confiable
Smartphone,positivo,"Funciona de maravilla, el Smartphone es rápido y confiable.",funciona maravilla rápido confiable
Smartphone,positivo,"Encantado con mi nuevo Smartphone, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Cámara,neutro,"El Cámara es aceptable, cumple con lo prometido pero nada sobresaliente.",aceptable cumple prometido sobresaliente
Smartwatch,positivo,"El Smartwatch superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Smartphone,neutro,"Un Smartphone promedio, ni muy bueno ni muy malo.",promedio bueno malo
Laptop,positivo,"Encantado con mi nuevo Laptop, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Cámara,negativo,"Muy decepcionado con el Cámara, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Altavoces,neutro,"Un Altavoces promedio, ni muy bueno ni muy malo.",promedio bueno malo
Impresora,negativo,"Muy decepcionado con el Impresora, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Impresora,neutro,"Cumple su función básica, el Impresora no destaca en nada.",cumple función básica destaca
Teclado,negativo,"No recomiendo este Teclado, la calidad deja mucho que desear.",recomiendo calidad deja desear
Smartphone,negativo,"No recomiendo este Smartphone, la calidad deja mucho que desear.",recomiendo calidad deja desear
Smartwatch,neutro,"Un Smartwatch promedio, ni muy bueno ni muy malo.",promedio bueno malo
Teclado,neutro,"Un Teclado promedio, ni muy bueno ni muy malo.",promedio bueno malo
Monitor,neutro,"Un Monitor promedio, ni muy bueno ni muy malo.",promedio bueno malo
Impresora,positivo,"Funciona de maravilla, el Impresora es rápido y confiable.",funciona maravilla rápido confiable
Auriculares,positivo,"Encantado con mi nuevo Auriculares, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Teclado,neutro,"Cumple su función básica, el Teclado no destaca en nada.",cumple función básica destaca
Smartphone,neutro,"El Smartphone es aceptable, cumple con lo prometido pero nada sobresaliente.",aceptable cumple prometido sobresaliente
Cámara,positivo,"Encantado con mi nuevo Cámara, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Impresora,positivo,"Funciona de maravilla, el Impresora es rápido y confiable.",funciona maravilla rápido confiable
Smartwatch,positivo,"El Smartwatch superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Altavoces,negativo,"Muy decepcionado con el Altavoces, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Tablet,positivo,"El Tablet superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Tablet,positivo,"El Tablet superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Monitor,negativo,"Muy decepcionado con el Monitor, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Teclado,positivo,"El Teclado superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Monitor,positivo,"Encantado con mi nuevo Monitor, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Teclado,positivo,"El Teclado superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Teclado,negativo,"Muy decepcionado con el Teclado, dejó de funcionar a la semana. Incluía accesorios extra.",decepcionado dejó funcionar semana incluía accesorios extra
Tablet,negativo,"Muy decepcionado con el Tablet, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Altavoces,positivo,"Funciona de maravilla, el Altavoces es rápido y confiable.",funciona maravilla rápido confiable
Smartwatch,negativo,"No recomiendo este Smartwatch, la calidad deja mucho que desear.",recomiendo calidad deja desear
Laptop,neutro,"El Laptop es aceptable, cumple con lo prometido pero nada sobresaliente.",aceptable cumple prometido sobresaliente
Altavoces,negativo,"Muy decepcionado con el Altavoces, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Smartwatch,neutro,"Un Smartwatch promedio, ni muy bueno ni muy malo.",promedio bueno malo
Monitor,positivo,"Funciona de maravilla, el Monitor es rápido y confiable.",funciona maravilla rápido confiable
Tablet,positivo,"Funciona de maravilla, el Tablet es rápido y confiable.",funciona maravilla rápido confiable
Impresora,neutro,"Cumple su función básica, el Impresora no destaca en nada. La entrega fue muy lenta.",cumple función básica destaca entrega lenta
Smartwatch,positivo,"Funciona de maravilla, el Smartwatch es rápido y confiable.",funciona maravilla rápido confiable
Altavoces,negativo,"Muy decepcionado con el Altavoces, dejó de funcionar a la semana.",decepcionado dejó funcionar semana
Monitor,neutro,"El Monitor es aceptable, cumple con lo prometido pero nada sobresaliente.",aceptable cumple prometido sobresaliente
Tablet,neutro,"Un Tablet promedio, ni muy bueno ni muy malo.",promedio bueno malo
Smartwatch,neutro,"Cumple su función básica, el Smartwatch no destaca en nada.",cumple función básica destaca
Auriculares,positivo,"Encantado con mi nuevo Auriculares, vale cada peso invertido.",encantado nuevo vale cada peso invertido
Auriculares,negativo,"No recomiendo este Auriculares, la calidad deja mucho que desear.",recomiendo calidad deja desear
Teclado,positivo,"El Teclado superó mis expectativas, excelente calidad y muy buen rendimiento.",superó expectativas excelente calidad buen rendimiento
Altavoces,positivo,"Encantado con mi nuevo Altavoces, vale cada peso invertido.",encantado nuevo vale cada peso invertido
